index,title,price,rating,reviews,availability
0,ASIAN Men's Wonder-13 Sports Running Shoes,₹514.00,3.9 out of 5 stars,"90,238 ratings",In stock
1,Adidas Mens Restound M Running Shoe,"₹1,320.00",4.2 out of 5 stars,212 ratings,In stock
2,ASICS Men's Black Running Shoes,"₹2,153.00",4.0 out of 5 stars,"2,445 ratings",In stock
3,Campus Mike (N) Men's Running Shoes,₹968.00,3.8 out of 5 stars,"4,771 ratings",In stock
4,Amazon Brand - Symactive Mens Walking Shoe,₹699.00,4.0 out of 5 stars,872 ratings,In stock
5,Centrino Mens 6072-01 Running Shoe,₹499.00,4.0 out of 5 stars,45 ratings,In stock
6,Amazon Brand - Symactive Men's Walking Shoe,₹869.00,4.0 out of 5 stars,153 ratings,
7,Amazon Brand - Symactive Mens Cooper Running Shoe,₹999.00,4.0 out of 5 stars,121 ratings,Only 2 left in stock
8,Amazon Brand - Symactive Mens Prism Running Shoe,₹899.00,4.0 out of 5 stars,713 ratings,In stock
9,Lotto Mens Vertigo Running Shoes,₹625.00,4.0 out of 5 stars,"16,364 ratings",In stock
10,Campus Men's Maxico Running Shoes,₹869.00,3.9 out of 5 stars,"22,434 ratings",In stock
11,Sparx Men SM-680 Sports Shoes,"₹1,199.00",4.0 out of 5 stars,994 ratings,In stock
12,Sparx Men Running Shoes,"₹1,049.00",4.1 out of 5 stars,"16,885 ratings",In stock
13,Campus Mens Atlantis Running,₹749.00,4.0 out of 5 stars,18 ratings,In stock
14,Campus Men's Everest Running Shoes,₹705.00,3.7 out of 5 stars,"1,506 ratings",In stock
15,Campus Men's Crysta PRO Running Shoe,₹714.00,3.9 out of 5 stars,"19,208 ratings",In stock
16,Adidas Mens Pictor M Running Shoe,"₹2,279.00",4.0 out of 5 stars,139 ratings,In stock
17,Adidas Mens Adi Zoom M Running Shoe,"₹1,089.00",3.9 out of 5 stars,574 ratings,In stock
18,Bourge Mens Loire-z1 Running Shoes,₹699.00,4.0 out of 5 stars,"22,693 ratings",In stock
19,Campus Men's North Plus Running Shoes,"₹1,138.00",3.9 out of 5 stars,"7,952 ratings",In stock
20,Campus mens City-ride Running Shoe Sport shoe,₹900.00,3.8 out of 5 stars,"1,798 ratings",In stock
21,Adidas Mens Classigy M Running Shoe,"₹1,609.00",4.0 out of 5 stars,822 ratings,In stock
22,Bourge Men's Loire-z126 Running Shoes,₹599.00,3.8 out of 5 stars,"29,646 ratings",In stock
23,"ASIAN Men's FUTURE-01 Sports Running,Walking & Gym Shoes with Eva Sole Extra Jump Casual Sneaker Shoes for Men's & Boy's",₹514.00,3.8 out of 5 stars,"6,989 ratings",In stock
24,"Red Tape Running Sports Shoes for Men | Soft Cushioned Insole, Slip-Resistance, Dynamic Feet Support, Arch Support & Shock Absorption","₹1,484.00",3.7 out of 5 stars,133 ratings,In stock
25,Sparx Men's Running Shoes,"₹1,319.00",4.2 out of 5 stars,"5,072 ratings",In stock
26,Amazon Brand - Symactive Mens Fanatic Running Shoe,₹769.00,3.8 out of 5 stars,604 ratings,In stock
27,Campus Men's MAXICO BLU/Sky Running Shoes-10 UK (44 EU) (CG-345),₹714.00,4.1 out of 5 stars,398 ratings,In stock
28,Campus Men's Strom PRO Running Shoes,₹647.00,4.0 out of 5 stars,769 ratings,In stock
29,Nivia Men Marathon Running Shoe for Mens | Rubber Outsole with Breathable Mesh Upper with PVC Synthetic Leather | Die Cut N.R E.VA Sockliner | Ideal for Trail Running,,4.0 out of 5 stars,532 ratings,Not Available
30,Bourge Mens Vega-m1 Running Shoes,₹699.00,4.2 out of 5 stars,"40,567 ratings",In stock
31,Campus Men's CATO Running Shoes,₹699.00,3.8 out of 5 stars,7 ratings,In stock
32,Bourge Mens Vega-m3 Running Shoes,₹699.00,4.2 out of 5 stars,"32,205 ratings",In stock
33,"Red Tape Grey Sports Shoes for Men's- Lace-Up Shoes, Perfect Walking & Running Shoes for Men","₹1,473.00",4.2 out of 5 stars,121 ratings,In stock
34,Puma Mens Coarse Running Shoe,"₹1,859.00",4.1 out of 5 stars,41 ratings,In stock
35,Adidas Mens Fluidglow M Running Shoes,"₹2,150.00",4.0 out of 5 stars,"1,397 ratings",In stock
36,Adidas Mens Elate M Running Shoe,"₹1,500.00",4.0 out of 5 stars,"4,117 ratings",In stock
37,Campus Men's Rodeo-2 Running Shoes,₹869.00,3.9 out of 5 stars,"16,035 ratings",Available to ship in 1-2 days
38,Puma Mens Scorch Runner V2 Running Shoe,"₹2,129.00",3.6 out of 5 stars,66 ratings,Only 2 left in stock
39,Campus Men's Royce-2 Running Shoes,₹829.00,4.0 out of 5 stars,"11,222 ratings",In stock
40,Campus Men's ZURIK PRO Running Shoes,"₹1,169.00",4.0 out of 5 stars,638 ratings,In stock
41,Sparx Men's Sx0421g Running Shoes,₹879.00,4.1 out of 5 stars,"5,880 ratings",In stock
42,Campus Mens 5g-820 Running Shoe,"₹1,034.00",3.8 out of 5 stars,"1,495 ratings",In stock
43,Adidas Mens Throb M Running Shoe,"₹1,749.00",4.0 out of 5 stars,"5,642 ratings",In stock
44,"ASIAN Men's Creta-12 Men's Running Shoes with Breathable Knitted Upper | Gym,Training, Running Shoes for Men's & Boy's",₹799.00,3.7 out of 5 stars,"13,456 ratings",In stock
45,Lancer Men's Sports Running Shoes Indus-251,₹648.00,3.7 out of 5 stars,"3,836 ratings",Only 1 left in stock
46,Adidas Mens Yking 2.0 Running Shoe,"₹2,179.00",4.1 out of 5 stars,"6,492 ratings",In stock
47,Campus Mens Syrus Running Shoes,₹824.00,4.0 out of 5 stars,"4,169 ratings",In stock
48,Sparx Men's Sm-675 Running Shoe,₹849.00,4.1 out of 5 stars,"6,344 ratings",In stock
49,Adidas Mens Duramo Sl 2.0 Sneaker,"₹3,563.00",4.3 out of 5 stars,251 ratings,In stock
50,Adidas Mens Glideease M Running Shoe,"₹1,572.00",3.6 out of 5 stars,14 ratings,In stock
51,Sparx Mens Sm-661 Sports Shoes,"₹1,279.00",3.9 out of 5 stars,"1,579 ratings",In stock
52,Sparx Men's Sm-705 Running Shoe,₹974.00,4.0 out of 5 stars,296 ratings,In stock
53,Adidas Mens Cyberrun M Running Shoe,"₹2,779.00",4.0 out of 5 stars,41 ratings,In stock
54,Campus Mens Syrus Running Shoes,₹824.00,4.0 out of 5 stars,"4,169 ratings",In stock
55,Sparx Men's Sm-678 Running Shoe,"₹1,439.00",4.1 out of 5 stars,"1,731 ratings",In stock
56,"ASIAN Men's Creta-12 Men's Running Shoes with Breathable Knitted Upper | Gym,Training, Running Shoes for Men's & Boy's",₹799.00,3.7 out of 5 stars,"13,456 ratings",In stock
57,Campus Men's Harley Running Shoes,₹599.00,4.0 out of 5 stars,899 ratings,In stock
58,Adidas Mens Adiscend M Running Shoe,"₹1,799.00",3.9 out of 5 stars,293 ratings,In stock
59,"ASIAN Wind-03 Sports Running,Walking & Gym Shoes with Eva Sole Casual Lightweight Slip-On Shoes for Men's & Boy's",₹624.00,3.8 out of 5 stars,"1,097 ratings",In stock
60,Sparx Mens Sm 651 Industrial Shoe,₹891.00,4.2 out of 5 stars,"9,420 ratings",In stock
